day,dose_rate_mGy_day,ros_norm,mito_integrity,atp_proxy,fast_excitability_delta,slow_mito_atp_suppression,excitability_ratio,ltp_proxy,structural_neural_integrity_proxy,scenario,shield_mm_Al
138.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
139.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
140.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
141.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
142.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
143.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
144.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
145.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
146.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
147.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
148.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
149.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
150.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
151.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
152.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
153.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
154.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
155.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
156.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
157.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
158.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
159.0,433333.3333333333,11.028990134323797,0.0,0.0,0.043288108052995086,1.4891395982840836,0.0,0.0,0.0,VAB_RBSP_like,0.5
160.0,433333.3333333333,11.028990134323797,0.0018296083472930285,0.00043269642458750284,0.043288108052995086,1.4884952529041944,0.0,0.0,0.0,VAB_RBSP_like,0.5
