scenario,shield_mm_Al,day,dose_rate_mGy_day,ros_norm_R,mitochondrial_integrity_M,fast_redox_channel_stress,slow_mito_pump_stress,neural_risk_proxy_0to1
LEO_ISS_like,20.0,176,1.1252777777777778,0.06274899827494629,0.8821524638758453,0.06274899827494629,0.11784753612415466,0.0958081209844713
LEO_ISS_like,20.0,177,1.1252777777777778,0.06274899827494629,0.881675693732708,0.06274899827494629,0.11832430626729196,0.09609418307035368
LEO_ISS_like,20.0,178,1.1252777777777778,0.06274899827494629,0.8812008026527335,0.06274899827494629,0.11879919734726652,0.09637911771833842
LEO_ISS_like,20.0,179,1.1252777777777778,0.06274899827494629,0.8807277832300923,0.06274899827494629,0.11927221676990774,0.09666292937192315
LEO_ISS_like,20.0,180,1.1252777777777778,0.06274899827494629,0.880256628088143,0.06274899827494629,0.11974337191185702,0.09694562245709272
VAB_RBSP_like,1.0,0,140016.6666666667,0.0,1.0,0.0,0.0,0.0
VAB_RBSP_like,1.0,1,140016.6666666667,1.0,1.0,1.0,0.0,0.4
VAB_RBSP_like,1.0,2,140016.6666666667,0.75,0.985,0.75,0.015000000000000013,0.30900000000000005
VAB_RBSP_like,1.0,3,140016.6666666667,0.8125,0.97396375,0.8125,0.026036249999999983,0.34062175
VAB_RBSP_like,1.0,4,140016.6666666667,0.796875,0.962171675546875,0.796875,0.037828324453125006,0.34144699467187506
VAB_RBSP_like,1.0,5,140016.6666666667,0.80078125,0.9507842022109632,0.80078125,0.04921579778903684,0.3498419786734221
VAB_RBSP_like,1.0,6,140016.6666666667,0.7998046875,0.939511297175429,0.7998046875,0.06048870282457097,0.3562150966947426
VAB_RBSP_like,1.0,7,140016.6666666667,0.800048828125,0.928421380192301,0.800048828125,0.07157861980769897,0.36296670313461943
VAB_RBSP_like,1.0,8,140016.6666666667,0.79998779296875,0.9174943794932885,0.79998779296875,0.08250562050671151,0.3694984894915269
VAB_RBSP_like,1.0,9,140016.6666666667,0.8000030517578125,0.9067321317991276,0.8000030517578125,0.0932678682008724,0.3759619416236485
VAB_RBSP_like,1.0,10,140016.6666666667,0.7999992370605469,0.8961311083152377,0.7999992370605469,0.10386889168476232,0.38232102983507615
VAB_RBSP_like,1.0,11,140016.6666666667,0.8000001907348633,0.8856891519459158,0.8000001907348633,0.1143108480540842,0.3885865851263959
